weighted portfolio variance,weighted portfolio returns
0.025529,0.178376
0.034754,0.137192
0.035930,0.206350
0.026989,0.209417
0.028030,0.189789
0.030345,0.212280
0.028199,0.216148
0.050137,0.230907
0.035578,0.260404
0.049194,0.230540
0.025029,0.194789
0.023012,0.201274
0.039215,0.224421
0.020314,0.181450
0.030263,0.192898
0.017489,0.173752
0.045641,0.227652
0.041125,0.220575
0.026193,0.189290
0.021710,0.193758
0.027243,0.225461
0.027226,0.169134
0.044197,0.226215
0.032498,0.247145
0.036034,0.213635
0.017497,0.190073
0.032255,0.200236
0.019646,0.193005
0.037355,0.218463
0.031933,0.215657
0.041289,0.228772
0.044441,0.222593
0.038785,0.212586
0.018128,0.188921
